"street",paris,"Arts et Métiers","rue Montgolfier"
"street",paris,"Sainte-Avoye","rue de Montmorency"
"street",paris,"Enfants Rouges","rue de Poitou"
"street",paris,"Arts et Métiers","cour de Rome"
"street",paris,"Arts et Métiers","rue des Fontaines du Temple"
"street",paris,"Arts et Métiers","rue du Vertbois"
"street",paris,"Arts et Métiers","rue des Vertus"
"street",paris,"Archives","rue du Pas de la Mule"
"street",paris,"Saint-Gervais","rue de Sévigné"
"street",paris,"Enfants Rouges","rue de Turenne"
"street",paris,"Arts et Métiers","boulevard Saint-Martin"
"street",paris,"Arts et Métiers","place de la République"
"street",paris,"Arsenal","rue Saint-Antoine"
"street",paris,"Arsenal","rue de l'Arsenal"
"street",paris,"Saint-Gervais","rue Aubriot"
"street",paris,"Saint-Gervais","place Baudoyer"
"street",paris,"Maison Blanche","place Jean Delay"
"street",paris,"Villette","passage Marcel Landowski"
"street",paris,"Petit Montrouge","place Ambroise Croizat"
"street",paris,"Necker","place Madeleine Renaud et Jean-Louis Barrault"
"street",paris,"Champs Elysées","place Paul-Emile Victor"
"street",paris,"Clignancourt","place Cécile Brunschvicg"
"street",paris,"Chapelle","voie CH/18"
"street",paris,"Faubourg du Roule","place Maurice Couve de Murville"
"street",paris,"Chaussée d'Antin","rue Bruno Coquatrix"
"street",paris,"Epinettes","voie BX/17"
"street",paris,"Gare","voie GG/13"
"street",paris,"Epinettes","rue Hélène et François Missoffe"
"street",paris,"Gare","voie FT/13"
"street",paris,"Folie-Méricourt","place Darno Maffini"
"street",paris,"Epinettes","passage Rose Valland"
"street",paris,"Villette","promenade Florence Arthaud"
"street",paris,"Maison Blanche","voie GJ/13"
"street",paris,"Charonne","voie FS/20"
"street",paris,"Saint-Merri","place de l'Hôtel de Ville-esplanade de la Libération"
"street",paris,"Javel","place Jenny Alpha"
"street",paris,"Lambert","allée Joseph Récamier"
"street",paris,"Notre-Dame","Petit Pont-Cardinal Lustiger."
"street",paris,"Roquette","esplanade Roger Joseph Boscovich"
"street",paris,"Faubourg du Roule","rue Laure Diebold"
"street",paris,"Charonne","rue Frantz Fanon"
"street",paris,"Roquette","place Hubertine Auclert"
"street",paris,"Sainte-Marguerite","esplanade Renée Lebas"
"street",paris,"Plaisance","rue Hervé Guibert"
"street",paris,"Porte Saint-Martin","terrasse Emilienne Moreau-Evrard"
"street",paris,"Bercy","place Gertrude Stein"
"street",paris,"Notre-Dame des Champs","place Laurent Terzieff et Pascale de Boysson"
"street",paris,"Bercy","passage Miriam Makeba"
"street",paris,"Grandes Carrières","rue Maurice Grimaud"
"street",paris,"Gare","voie GN/13"
"street",paris,"Bercy","rue Louise Hervieu"
"street",paris,"Gare","rue Jacques Lacan"
"street",paris,"Gare","place Aurélie Nemours"
"street",paris,"Halles","rue Martha Graham"
"street",paris,"Chaillot","allée Jean-Jacques Servan-Schreiber"
"street",paris,"Charonne","rue de Srebrenica"
"street",paris,"Petit Montrouge","voie BY/14"
"street",paris,"Goutte d'Or","voie CQ/18"
"street",paris,"Goutte d'Or","voie CS/18"
"street",paris,"Goutte d'Or","voie CV/18"
"street",paris,"Picpus","voie DW/12"
"street",paris,"Saint-Georges","promenade Coccinelle"
"street",paris,"Villette","rue du Département"
"street",paris,"Villette","rue Riquet"
"street",paris,"Père Lachaise","voie AH/20"
"street",paris,"Père Lachaise","rue d'Annam"
"street",paris,"Père Lachaise","cité Aubry"
"street",paris,"Charonne","rue d'Avron"
"street",paris,"Charonne","place de la Porte de Bagnolet"
"street",paris,"Saint-Fargeau","avenue de la Porte de Bagnolet"
"street",paris,"Saint-Fargeau","rue Maurice Berteaux"
"street",paris,"Charonne","rue Roger Bissière"
"street",paris,"Charonne","rue Blanchard"
"street",paris,"Charonne","place Marc Bloch"
"street",paris,"Saint-Fargeau","rue du Borrégo"
"street",paris,"Père Lachaise","rue du Cambodge"
"street",paris,"Charonne","square des Cardeurs"
"street",paris,"Charonne","avenue Cartellier"
"street",paris,"Charonne","cité Champagne"
"street",paris,"Charonne","rue Auguste Chapuis"
"street",paris,"Saint-Fargeau","square Chauré"
"street",paris,"Père Lachaise","voie CJ/20"
"street",paris,"Charonne","rue du Clos"
"street",paris,"Charonne","impasse des Crins"
"street",paris,"Saint-Fargeau","rue Darcy"
"street",paris,"Belleville","allée du Père Julien Dhuit"
"street",paris,"Père Lachaise","voie DL/20"
"street",paris,"Père Lachaise","rue Duris"
"street",paris,"Charonne","rue Henri Duvernois"
"street",paris,"Charonne","voie EN/20"
"street",paris,"Saint-Fargeau","rue du Père Prosper-Enfantin"
"street",paris,"Belleville","rue des Envierges"
"street",paris,"Saint-Fargeau","voie EQ/20"
"street",paris,"Belleville","rue de l'Est"
"street",paris,"Saint-Fargeau","voie ET/20"
"street",paris,"Charonne","voie EV/20"
"street",paris,"Père Lachaise","impasse Éveillard"
"street",paris,"Saint-Fargeau","rue Saint-Fargeau"
"street",paris,"Gros Caillou, Grenelle","carrefour du Général Jacques Pâris de Bollardière"
"street",paris,"Saint-Fargeau","rue du Capitaine Ferber"
"street",paris,"Saint-Fargeau","rue des Fougères"
"street",paris,"Saint-Fargeau","rue Léon Frapié"
"street",paris,"Belleville","place Fréhel"
"street",paris,"Charonne","rue Cristino Garcia"
"street",paris,"Saint-Fargeau","square Roland Garros"
"street",paris,"Belleville","cité de Gênes"
"street",paris,"Charonne","impasse Gros"
"street",paris,"Charonne","rue Reynaldo Hahn"
"street",paris,"Saint-Fargeau","impasse Haxo"
"street",paris,"Charonne","rue des Maraîchers"
"street",paris,"Saint-Fargeau","rue Étienne Marey"
"street",paris,"Charonne","impasse Saint-Pierre"
"street",paris,"Saint-Fargeau","rue de la Justice"
"street",paris,"Père Lachaise","rue Dupont De L'Eure"
"street",paris,"Père Lachaise","avenue du Père Lachaise"
"street",paris,"Charonne","rue de Lagny"
"street",paris,"Picpus","route du Parc"
"street",paris,"Picpus","rue Jules Pichard"
"street",paris,"Picpus","rue Georges et Maï Politzer"
"street",paris,"Bel Air","avenue du Polygone"
"street",paris,"Picpus","route de la Pompadour"
"street",paris,"Bercy","cour du Ponant"
"street",paris,"Bercy","rue Proudhon"
